src/reservation_system/service.py:104:5: E303 too many blank lines (2)
src/reservation_system/service.py:105:5: E301 expected 1 blank line, found 0
src/reservation_system/service.py:258:80: E501 line too long (88 > 79 characters)
tests/test_service_customers_happy.py:35:80: E501 line too long (82 > 79 characters)
tests/test_service_customers_negative.py:6:80: E501 line too long (87 > 79 characters)
tests/test_service_hotels_negative.py:5:80: E501 line too long (87 > 79 characters)
tests/test_service_reservations_happy.py:25:80: E501 line too long (84 > 79 characters)
tests/test_service_reservations_happy.py:62:80: E501 line too long (82 > 79 characters)
tests/test_service_reservations_invalid_date_negative.py:27:80: E501 line too long (84 > 79 characters)
tests/test_service_reservations_invalid_date_negative.py:42:80: E501 line too long (91 > 79 characters)
tests/test_service_reservations_no_availability_negative.py:26:80: E501 line too long (84 > 79 characters)
tests/test_service_reservations_no_availability_negative.py:33:80: E501 line too long (86 > 79 characters)
tests/test_service_reservations_no_availability_negative.py:34:80: E501 line too long (86 > 79 characters)
tests/test_service_reservations_overlap_negative.py:26:80: E501 line too long (84 > 79 characters)
tests/test_service_reservations_overlap_negative.py:32:80: E501 line too long (86 > 79 characters)
tests/test_service_reservations_overlap_negative.py:34:80: E501 line too long (90 > 79 characters)
tests/test_service_reservations_overlap_negative.py:37:80: E501 line too long (86 > 79 characters)
tests/test_service_reservations_overlap_negative.py:39:80: E501 line too long (90 > 79 characters)
tests/test_storage_invalid_json.py:18:80: E501 line too long (104 > 79 characters)
tests/test_storage_invalid_json.py:31:80: E501 line too long (104 > 79 characters)
tests/test_storage_invalid_json.py:41:80: E501 line too long (104 > 79 characters)
